wavelength,ex,em,2p
300,0.0332,,
301,0.042,,
302,0.0483,,
303,0.0516,,
304,0.0519,,
305,0.0503,,
306,0.0479,,
307,0.046,,
308,0.0453,,
309,0.046,,
310,0.0477,,
311,0.0501,,
312,0.0525,,
313,0.0549,,
314,0.0569,,
315,0.0586,,
316,0.0601,,
317,0.0613,,
318,0.0625,,
319,0.0636,,
320,0.065,,
321,0.0668,,
322,0.0691,,
323,0.072,,
324,0.0754,,
325,0.0792,,
326,0.083,,
327,0.0867,,
328,0.0906,,
329,0.0945,,
330,0.0987,,
331,0.1035,,
332,0.109,,
333,0.1153,,
334,0.1226,,
335,0.1308,,
336,0.1396,,
337,0.149,,
338,0.1586,,
339,0.1684,,
340,0.1784,,
341,0.189,,
342,0.2009,,
343,0.2145,,
344,0.23,,
345,0.2471,,
346,0.2653,,
347,0.2836,,
348,0.3013,,
349,0.3182,,
350,0.3344,,
351,0.3505,,
352,0.3672,,
353,0.3849,,
354,0.4039,,
355,0.4245,,
356,0.447,,
357,0.472,,
358,0.5004,,
359,0.5329,,
360,0.5696,,
361,0.6096,,
362,0.651,,
363,0.6916,,
364,0.7289,,
365,0.7613,,
366,0.7881,,
367,0.8096,,
368,0.8267,,
369,0.8406,,
370,0.852,,
371,0.8615,,
372,0.8698,,
373,0.8777,,
374,0.8863,,
375,0.8968,,
376,0.9098,,
377,0.9251,,
378,0.9416,,
379,0.9576,,
380,0.9716,,
381,0.9825,,
382,0.9902,,
383,0.9954,,
384,0.9986,,
385,1.0,,
386,0.9992,,
387,0.9951,,
388,0.987,,
389,0.9747,,
390,0.9593,,
391,0.9425,,
392,0.926,,
393,0.9108,,
394,0.8965,,
395,0.8816,,
396,0.8642,,
397,0.8426,,
398,0.8169,,
399,0.7884,,
400,0.76,0.0251,
401,0.7342,0.0262,
402,0.713,0.0345,
403,0.6966,0.0424,
404,0.6838,0.0562,
405,0.6718,0.0683,
406,0.6579,0.0889,
407,0.6395,0.1086,
408,0.6152,0.1371,
409,0.5845,0.173,
410,0.5477,0.2018,
411,0.5057,0.2419,
412,0.4598,0.2885,
413,0.4114,0.3294,
414,0.362,0.3747,
415,0.3136,0.4085,
416,0.2676,0.4463,
417,0.2257,0.4902,
418,0.1889,0.5292,
419,0.1576,0.5669,
420,0.1317,0.5916,
421,0.1103,0.6113,
422,0.0927,0.6359,
423,0.0779,0.6482,
424,0.0653,0.6592,
425,0.0544,0.6673,
426,0.045,0.692,
427,0.0369,0.6753,
428,0.0301,0.7015,
429,0.0245,0.694,
430,0.0199,0.701,
431,0.0163,0.7011,
432,0.0136,0.7023,
433,0.0116,0.7176,
434,0.0101,0.7454,
435,0.0089,0.7655,
436,0.008,0.7625,
437,0.0072,0.7993,
438,0.0065,0.8133,
439,0.0059,0.843,
440,0.0053,0.8838,
441,0.0048,0.8827,
442,0.0044,0.8984,
443,0.0041,0.9164,
444,0.0038,0.9385,
445,0.0035,0.9435,
446,0.0033,0.9669,
447,0.003,0.9808,
448,0.0028,1.0,
