wavelength,ex,em,2p
300,0.1508,,
301,0.1395,,
302,0.1303,,
303,0.1222,,
304,0.115,,
305,0.1097,,
306,0.1068,,
307,0.1053,,
308,0.1054,,
309,0.1072,,
310,0.1103,,
311,0.1133,,
312,0.1166,,
313,0.1198,,
314,0.1232,,
315,0.1262,,
316,0.1282,,
317,0.1317,,
318,0.1351,,
319,0.1386,,
320,0.1426,,
321,0.1481,,
322,0.1539,,
323,0.1605,,
324,0.168,,
325,0.1745,,
326,0.1801,,
327,0.1831,,
328,0.1842,,
329,0.1817,,
330,0.1765,,
331,0.1686,,
332,0.1579,,
333,0.146,,
334,0.1345,,
335,0.1221,,
336,0.1119,,
337,0.1025,,
338,0.0939,,
339,0.0862,,
340,0.0795,,
341,0.0742,,
342,0.0692,,
343,0.0648,,
344,0.0616,,
345,0.0582,,
346,0.0556,,
347,0.0533,,
348,0.051,,
349,0.049,,
350,0.0467,,
351,0.045,,
352,0.0429,,
353,0.0406,,
354,0.0385,,
355,0.0365,,
356,0.0341,,
357,0.0319,,
358,0.0296,,
359,0.0276,,
360,0.0255,,
361,0.0236,,
362,0.022,,
363,0.0204,,
364,0.0189,,
365,0.0179,,
366,0.0169,,
367,0.016,,
368,0.0152,,
369,0.0145,,
370,0.0138,,
371,0.0131,,
372,0.0125,,
373,0.0116,,
374,0.0106,,
375,0.0097,,
376,0.0087,,
377,0.0077,,
378,0.0067,,
379,0.0058,,
380,0.005,,
381,0.0043,,
382,0.0036,,
383,0.003,,
384,0.0026,,
385,0.0023,,
386,0.002,,
387,0.0018,,
388,0.0017,,
389,0.0016,,
390,0.0015,,
391,0.0014,,
392,0.0014,,
393,0.0015,,
394,0.0014,,
395,0.0015,,
396,0.0015,,
397,0.0016,,
398,0.0016,,
399,0.0018,,
400,0.0018,,
401,0.002,,
402,0.0021,,
403,0.0022,,
404,0.0023,,
405,0.0024,,
406,0.0025,,
407,0.0027,,
408,0.0029,,
409,0.003,,
410,0.0032,,
411,0.0034,,
412,0.0036,,
413,0.0039,,
414,0.0041,,
415,0.0044,,
416,0.0046,,
417,0.0049,,
418,0.0052,,
419,0.0056,,
420,0.0059,,
421,0.0063,,
422,0.0067,,
423,0.0071,,
424,0.0075,,
425,0.0079,,
426,0.0085,,
427,0.009,,
428,0.0095,,
429,0.0101,,
430,0.0107,,
431,0.0115,,
432,0.0122,,
433,0.0129,,
434,0.0137,,
435,0.0147,,
436,0.0157,,
437,0.0165,,
438,0.0177,,
439,0.0187,,
440,0.0199,,
441,0.0211,,
442,0.0227,,
443,0.0239,,
444,0.0255,,
445,0.0269,,
446,0.0284,,
447,0.0302,,
448,0.0319,,
449,0.0339,,
450,0.0351,,
451,0.0371,,
452,0.0392,,
453,0.0411,,
454,0.0437,,
455,0.0459,,
456,0.0486,,
457,0.0511,,
458,0.0538,,
459,0.0565,,
460,0.06,,
461,0.0633,,
462,0.0667,,
463,0.0698,,
464,0.0738,,
465,0.0787,,
466,0.0835,,
467,0.0875,,
468,0.091,,
469,0.0961,,
470,0.1018,,
471,0.1072,,
472,0.1136,,
473,0.1176,,
474,0.1223,,
475,0.1286,,
476,0.1338,,
477,0.139,,
478,0.1436,,
479,0.1489,,
480,0.1534,,
481,0.1572,,
482,0.1618,,
483,0.1667,,
