wavelength,ex,em,2p
352,0.035,,
353,0.0364,,
354,0.0379,,
355,0.0395,,
356,0.0411,,
357,0.0427,,
358,0.0444,,
359,0.0462,,
360,0.0481,,
361,0.0501,,
362,0.0523,,
363,0.0546,,
364,0.057,,
365,0.0596,,
366,0.0623,,
367,0.065,,
368,0.0678,,
369,0.0705,,
370,0.0731,,
371,0.0756,,
372,0.0779,,
373,0.0802,,
374,0.0824,,
375,0.0845,,
376,0.0866,,
377,0.0888,,
378,0.0909,,
379,0.0931,,
380,0.0952,,
381,0.0973,,
382,0.0992,,
383,0.1009,,
384,0.1025,,
385,0.1042,,
386,0.1059,,
387,0.1078,,
388,0.11,,
389,0.1124,,
390,0.115,,
391,0.1174,,
392,0.1194,,
393,0.1212,,
394,0.1227,,
395,0.1242,,
396,0.1257,,
397,0.1274,,
398,0.1295,,
399,0.132,,
400,0.1349,,
401,0.1379,,
402,0.1408,,
403,0.1433,,
404,0.1454,,
405,0.1471,,
406,0.1487,,
407,0.1501,,
408,0.1516,,
409,0.1533,,
410,0.1554,,
411,0.1581,,
412,0.1617,,
413,0.166,,
414,0.1705,,
415,0.1746,,
416,0.1782,,
417,0.1816,,
418,0.1852,,
419,0.1896,,
420,0.195,,
421,0.2016,,
422,0.2089,,
423,0.2151,,
424,0.2189,,
425,0.2215,,
426,0.2246,,
427,0.23,,
428,0.2388,,
429,0.2485,,
430,0.2572,,
431,0.2648,,
432,0.2719,,
433,0.2789,,
434,0.2869,,
435,0.2972,,
436,0.3107,,
437,0.3283,,
438,0.3508,,
439,0.3729,,
440,0.3878,,
441,0.4071,,
442,0.4311,,
443,0.4455,,
444,0.4726,,
445,0.4976,,
446,0.5166,,
447,0.536,,
448,0.5537,,
449,0.5687,,
450,0.586,,
451,0.6053,,
452,0.6212,,
453,0.6338,,
454,0.6469,,
455,0.6635,,
456,0.6806,,
457,0.696,,
458,0.7089,,
459,0.7197,,
460,0.729,,
461,0.737,,
462,0.7435,,
463,0.7493,,
464,0.7604,,
465,0.7783,,
466,0.7869,,
467,0.7882,,
468,0.7893,,
469,0.7961,0.0049,
470,0.8119,0.0079,
471,0.8268,0.0106,
472,0.8354,0.0132,
473,0.8428,0.0161,
474,0.8535,0.0194,
475,0.8673,0.0234,
476,0.8788,0.0284,
477,0.8827,0.0348,
478,0.893,0.0429,
479,0.9187,0.0526,
480,0.9332,0.0635,
481,0.9396,0.0755,
482,0.9477,0.0891,
483,0.9618,0.1043,
484,0.9761,0.1207,
485,0.9838,0.1381,
486,0.9905,0.159,
487,0.9955,0.1899,
488,0.9958,0.2311,
489,0.9954,0.2653,
490,1.0,0.2923,
491,0.9812,0.3286,
492,0.948,0.374,
493,0.9349,0.4128,
494,0.9171,0.4474,
495,0.8943,0.4944,
496,0.8633,0.5573,
497,0.8505,0.6078,
498,0.7829,0.6574,
499,0.7466,0.7052,
500,0.7025,0.7507,
501,0.6802,0.8048,
502,0.6442,0.8333,
503,0.5867,0.8786,
504,0.5394,0.9255,
505,0.5149,0.9455,
506,0.4661,0.9694,
507,0.4217,0.9897,
508,0.3855,0.9977,
509,0.3515,1.0,
510,0.3147,0.992,
511,0.2803,0.9758,
512,0.2489,0.9473,
513,0.2215,0.9136,
514,0.2003,0.8898,
515,0.1807,0.8587,
516,0.1601,0.7997,
517,0.1402,0.7999,
518,0.1221,0.745,
519,0.1061,0.6803,
520,0.0925,0.6654,
521,0.0803,0.6209,
522,0.0688,0.5881,
523,0.0577,0.5646,
524,0.0479,0.5415,
