Time1,Cell1,Subs1,Time2,Cell2,Subs2,Time3,Cell3,Subs3,Time4,Cell4,Subs4,Time5,Cell5,Subs5
0.0000000e+000,1.0149115e-001,8.1192924e+000,0.0000000e+000,1.0010772e-001,8.0086173e+000,0.0000000e+000,1.4591496e-001,9.7276643e+000,0.0000000e+000,2.0015717e-001,7.0055008e+000,0.0000000e+000,1.1922174e-001,1.1445287e+001
5.0000000e-001,1.1754865e-001,8.1092208e+000,5.0000000e-001,1.1853558e-001,8.1773056e+000,5.0000000e-001,1.7079940e-001,9.8268791e+000,5.0000000e-001,2.2054009e-001,6.5657122e+000,5.0000000e-001,1.4841141e-001,1.2369218e+001
1.0000000e+000,1.3395270e-001,7.9558206e+000,1.0000000e+000,1.3589427e-001,8.0711354e+000,1.0000000e+000,1.9331485e-001,9.5803607e+000,1.0000000e+000,2.5844291e-001,6.5177712e+000,1.0000000e+000,1.7015118e-001,1.2296019e+001
1.5000000e+000,1.5094138e-001,7.7035782e+000,1.5000000e+000,1.5387490e-001,7.8532959e+000,1.5000000e+000,2.3544364e-001,1.0027915e+001,1.5000000e+000,3.1384852e-001,6.6715691e+000,1.5000000e+000,1.9238583e-001,1.2037003e+001
2.0000000e+000,1.7514727e-001,7.6642212e+000,2.0000000e+000,1.7221160e-001,7.5357600e+000,2.0000000e+000,2.5718814e-001,9.3890322e+000,2.0000000e+000,3.3423640e-001,5.9521942e+000,2.0000000e+000,2.0512795e-001,1.1092735e+001
2.5000000e+000,1.9629886e-001,7.3453784e+000,2.5000000e+000,2.0662364e-001,7.7317252e+000,2.5000000e+000,2.8766901e-001,8.9728325e+000,2.5000000e+000,4.2123804e-001,6.2368931e+000,2.5000000e+000,2.3863502e-001,1.1131187e+001
3.0000000e+000,2.3600416e-001,7.5279681e+000,3.0000000e+000,2.3112343e-001,7.3722846e+000,3.0000000e+000,3.5453422e-001,9.4125759e+000,3.0000000e+000,4.7603241e-001,5.8041027e+000,3.0000000e+000,2.7508477e-001,1.1041714e+001
3.5000000e+000,2.5665647e-001,6.9523294e+000,3.5000000e+000,2.6094175e-001,7.0684093e+000,3.5000000e+000,4.0974857e-001,9.2169866e+000,3.5000000e+000,5.3566495e-001,5.3125624e+000,3.5000000e+000,3.2582616e-001,1.1222776e+001
4.0000000e+000,3.1036300e-001,7.1069441e+000,4.0000000e+000,3.1804763e-001,7.2829132e+000,4.0000000e+000,4.4606266e-001,8.4539719e+000,4.0000000e+000,6.2322195e-001,4.9467103e+000,4.0000000e+000,3.5306814e-001,1.0400808e+001
4.5000000e+000,3.3942382e-001,6.5338654e+000,4.5000000e+000,3.6369475e-001,7.0010776e+000,4.5000000e+000,4.9532887e-001,7.8553088e+000,4.5000000e+000,6.9468883e-001,4.3163827e+000,4.5000000e+000,4.2880205e-001,1.0760289e+001
5.0000000e+000,3.9808341e-001,6.3977948e+000,5.0000000e+000,4.0541184e-001,6.5155737e+000,5.0000000e+000,5.7775054e-001,7.6011669e+000,5.0000000e+000,8.2027220e-001,3.8657180e+000,5.0000000e+000,4.6163485e-001,9.8203626e+000
5.5000000e+000,4.7023804e-001,6.2555856e+000,5.5000000e+000,4.7009206e-001,6.2536435e+000,5.5000000e+000,6.7433778e-001,7.2801849e+000,5.5000000e+000,9.9572026e-001,3.3918695e+000,5.5000000e+000,5.5909955e-001,1.0023621e+001
