Amostra,Proteina,Atividade
0,106.7096578,0.629299363
0,108.1548916,0.629723992
0,86.65413478,0.628450106
1,56.03165078,0.032271762
1,62.046992,0.035244161
1,80.77252678,0.036093418
2,85.3330895,0.617834395
2,88.6507255,0.609766454
2,97.51093478,0.617409766
3,85.99261062,0.633545648
3,79.48753622,0.629299363
3,77.89256512,0.633545648
4,141.9771108,0.631422505
4,131.5805698,0.625902335
4,144.8340173,0.630997877
5,77.57507318,0.655626327
5,85.00408008,0.658598726
5,85.99261062,0.653078556
7,54.63197608,0.659872611
7,69.19207808,0.661146497
7,49.96672422,0.653503185
15,55.47027862,0.56985138
15,54.9109095,0.570276008
15,51.32383432,0.56985138
16,45.70809958,0.001273885
16,50.779488,0.014861996
16,38.81236168,0.01656051
17,51.87018368,0.002547771
17,48.89004982,0.00552017
17,46.23341702,0.014012739
18,51.87018368,0.663694268
18,47.02514888,0.664968153
18,45.70809958,0.665392781
25,39.56052742,0.67388535
25,45.97050792,0.676433121
25,45.446192,0.675159236
29,49.96672422,0.672611465
29,61.46458792,0.674309979
29,39.0612495,0.671762208
WT,37.32955072,0.010615711
WT,53.24482038,0.024416136
WT,47.29006102,0.018067941
LB,47.55547392,0.001273885
LB,35.13913558,0.007643312
LB,32.51704512,0.009766454
